,Date,State,District,Confirmed,Recovered,Deceased,Tested,Population
169,2021-02-11,Maharashtra,Nashik,123140,120056,2015,498397.0,6107187
170,2021-02-11,Maharashtra,Osmanabad,17670,16925,555,109450.0,1657576
171,2021-02-11,Maharashtra,Parbhani,8012,7607,296,110937.0,1836086
172,2021-02-11,Maharashtra,Pune,392908,380269,8007,97127.0,9429408
173,2021-02-11,Maharashtra,Satara,57186,54564,1825,312742.0,3003741
174,2021-02-11,Maharashtra,Solapur,56629,54171,1824,629266.0,4317756
175,2021-02-11,Maharashtra,Thane,271656,261548,5760,1229625.0,11060148
176,2021-02-11,Maharashtra,Wardha,11138,10561,299,52365.0,1300774
177,2021-02-11,Maharashtra,Yavatmal,16075,15168,456,141551.0,2772348
178,2021-02-11,Madhya Pradesh,Balaghat,3185,3160,14,9654.0,1701698
179,2021-02-11,Madhya Pradesh,Barwani,2928,2874,30,41588.0,1385881
180,2021-02-11,Madhya Pradesh,Betul,3632,3514,75,68036.0,1575362
181,2021-02-11,Madhya Pradesh,Bhind,1506,1491,10,44395.0,1703005
182,2021-02-11,Madhya Pradesh,Bhopal,43140,41913,617,245166.0,2371061
183,2021-02-11,Madhya Pradesh,Chhatarpur,2109,2073,32,50518.0,1762375
184,2021-02-11,Madhya Pradesh,Chhindwara,2886,2804,46,79090.0,2090922
185,2021-02-11,Madhya Pradesh,Damoh,2790,2650,91,16564.0,1264219
186,2021-02-11,Madhya Pradesh,Datia,1908,1879,20,40322.0,786754
187,2021-02-11,Madhya Pradesh,Dewas,2965,2932,27,96155.0,1563715
188,2021-02-11,Madhya Pradesh,Dhar,4139,4067,58,62597.0,2185793
189,2021-02-11,Madhya Pradesh,Dindori,1014,999,1,3557.0,704524
190,2021-02-11,Madhya Pradesh,Guna,1556,1525,26,40229.0,1241519
191,2021-02-11,Madhya Pradesh,Gwalior,16467,16195,228,206696.0,2032036
192,2021-02-11,Madhya Pradesh,Harda,2141,2095,36,36708.0,570465
193,2021-02-11,Madhya Pradesh,Hoshangabad,3867,3792,61,46294.0,1241350
194,2021-02-11,Madhya Pradesh,Indore,57842,56610,924,780266.0,3276697
195,2021-02-11,Madhya Pradesh,Jabalpur,16416,15987,251,293923.0,2463289
196,2021-02-11,Madhya Pradesh,Jhabua,2545,2490,27,52146.0,1025048
197,2021-02-11,Madhya Pradesh,Katni,2267,2241,17,56828.0,1292042
198,2021-02-11,Madhya Pradesh,Mandsaur,2836,2792,35,52733.0,1340411
199,2021-02-11,Madhya Pradesh,Morena,3235,3203,29,90967.0,1965970
200,2021-02-11,Madhya Pradesh,Neemuch,3042,2994,37,57292.0,826067
201,2021-02-11,Madhya Pradesh,Raisen,2478,2423,46,44343.0,1331597
202,2021-02-11,Madhya Pradesh,Rajgarh,2441,2326,66,46604.0,1545814
203,2021-02-11,Madhya Pradesh,Ratlam,4741,4597,82,51736.0,1455069
